Code,Name,Color,ImageUrl
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-hf?variant=593615039821852686"";""33401"")",PETG HF,Cream,https://store.bblcdn.eu/s8/default/5c3cb65921ca495baf61a85215d67264/PETGHFNEWCOLOR_5.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-hf?variant=593615039821852687"";""33501"")",PETG HF,Lime Green,https://store.bblcdn.eu/s8/default/fd6bbfb864ac4510a298939d96558889/PETGHFNEWCOLOR_4.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-hf?variant=593615039821852688"";""33601"")",PETG HF,Lake Blue,https://store.bblcdn.eu/s8/default/b42cd9dea946410283ad3faf344e0525/PETGHFNEWCOLOR_2.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-silk-upgrade?variant=593616010014699522"";""13108"")",PLA Silk+,Titan Gray,https://store.bblcdn.eu/s8/default/9aaebe748b88497387f3c159307aa5bf/cf2723db072c4371b3606938b8cccdb9.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-silk-upgrade?variant=593616010014699523"";""13206"")",PLA Silk+,Rose Gold,https://store.bblcdn.eu/s8/default/bc09443440a541a693ac8e515931f554/PLA_Silk_10.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-silk-upgrade?variant=593616010014699524"";""13603"")",PLA Silk+,Baby Blue,https://store.bblcdn.eu/s8/default/69ac130bc20f4e50b4a86e85cda0b419/PLA_Silk_7.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-silk-upgrade?variant=593616010014699525"";""13404"")",PLA Silk+,Champagne,https://store.bblcdn.eu/s8/default/0cab659c780744e1b3cdb3c8a10c10e5/PLA_Silk_3.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-silk-upgrade?variant=593616010014699526"";""13507"")",PLA Silk+,Mint,https://store.bblcdn.eu/s8/default/7a25fc736bea4d869565cd98794339f8/PLA_Silk_2.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-silk-upgrade?variant=593616010014699527"";""13205"")",PLA Silk+,Candy Red,https://store.bblcdn.eu/s8/default/2309fbc5069f4f60bcfaefd2b9514dd0/PLA_Silk_5.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-silk-upgrade?variant=593616010014699528"";""13506"")",PLA Silk+,Candy Green,https://store.bblcdn.eu/s8/default/b6cb1b7292214ec0b38afb579d2f5f21/PLA_Silk_12.jpg
